Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Memantine Aurobindo 15 mg, filmomhulde tabletten;MEMANTINE;15 mg;Filmomhulde tablet;MEMANTINE - 15 mg - Filmomhulde tablet
Budenofalk Schuim 2 mg, schuim voor rectaal gebruik;BUDESONIDE;2 mg;Schuim voor rectaal gebruik;BUDESONIDE - 2 mg - Schuim voor rectaal gebruik
Clobazam Tiofarma 20 mg, tabletten;CLOBAZAM;20 mg;Tablet;CLOBAZAM - 20 mg - Tablet
Cyclofosfamide Accord 1000 mg, poeder voor oplossing voor injectie / infusie;CYCLOFOSFAMIDE;1000 mg;Poeder voor oplossing voor injectie;CYCLOFOSFAMIDE - 1000 mg - Poeder voor oplossing voor injectie
Furosemide Sandoz 250 mg/25 ml, concentraat voor oplossing voor intraveneuze infusie 10 mg/ml;FUROSEMIDE;250 mg/25 ml;Concentraat voor oplossing voor infusie;FUROSEMIDE - 250 mg/25 ml - Concentraat voor oplossing voor infusie
Ciprofloxacin-hameln 2 mg/ml, oplossing voor infusie;CIPROFLOXACINE;2 mg/ml;Oplossing voor infusie;CIPROFLOXACINE - 2 mg/ml - Oplossing voor infusie
Levobupivacaïne Molteni 0,625 mg/ml, oplossing voor infusie;LEVOBUPIVACAÏNE;0,625 mg/ml;Oplossing voor infusie;LEVOBUPIVACAÏNE - 0,625 mg/ml - Oplossing voor infusie
Allergopharma positieve priktest, oplossing voor huidpriktest 10 mg/ml;HISTAMINE;10 mg/ml;Oplossing voor huidpriktest;HISTAMINE - 10 mg/ml - Oplossing voor huidpriktest
Triamcinolonacetonide Ace 1 mg/g, crème;TRIAMCINOLONACETONIDE;1 mg/g;Crème;TRIAMCINOLONACETONIDE - 1 mg/g - Crème
Sevelamer-carbonaat Genthon 800 mg, filmomhulde tabletten;SEVELAMEER;800 mg;Filmomhulde tablet;SEVELAMEER - 800 mg - Filmomhulde tablet
Candesartan cilexetil Xiromed 8 mg tabletten;CANDESARTAN;8 mg;Tablet;CANDESARTAN - 8 mg - Tablet
Thorens 10.000 IE/ml, druppels voor oraal gebruik, oplossing;CHOLECALCIFEROL;10,000 IE/ml;Druppels voor oraal gebruik;CHOLECALCIFEROL - 10,000 IE/ml - Druppels voor oraal gebruik
Amoxicilline forte suikervrij 250 mg/5 ml Focus Care, poeder voor orale suspensie;AMOXICILLINE;250 mg/5 ml;Poeder voor orale suspensie;AMOXICILLINE - 250 mg/5 ml - Poeder voor orale suspensie
Paracetamol 1000 mg Teva, tabletten;PARACETAMOL;1000 mg;Tablet;PARACETAMOL - 1000 mg - Tablet
Canesten gyno 3, tablet voor vaginaal gebruik 200 mg;CLOTRIMAZOL;200 mg;Tablet voor vaginaal gebruik;CLOTRIMAZOL - 200 mg - Tablet voor vaginaal gebruik
Moxonidine 0,3 PCH, filmomhulde tabletten 0,3 mg;MOXONIDINE;0,3 mg;Filmomhulde tablet;MOXONIDINE - 0,3 mg - Filmomhulde tablet
Omeprazol Distriquimica 20 mg, maagsapresistente capsules, hard;OMEPRAZOL;20 mg;Maagsapresistente capsule;OMEPRAZOL - 20 mg - Maagsapresistente capsule
Levetiracetam Aristo 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet
Arlevert 20 mg/40 mg tabletten;CINNARIZINE/DIMENHYDRINAAT;20 mg/40 mg;Tablet;CINNARIZINE/DIMENHYDRINAAT - 20 mg/40 mg - Tablet
Quetiapine Aurobindo 50 mg, tabletten met verlengde afgifte;QUETIAPINE;50 mg;Tablet met verlengde afgifte;QUETIAPINE - 50 mg - Tablet met verlengde afgifte
Haemocomplettan P 20 mg/ml, poeder voor oplossing voor injectie/infusie;FIBRINOGEEN, HUMAAN;20 mg/ml;Poeder voor oplossing voor injectie of infusie;FIBRINOGEEN, HUMAAN - 20 mg/ml - Poeder voor oplossing voor injectie of infusie
Pregabaline Amarox 50 mg, harde capsules;PREGABALINE;50 mg;Capsule;PREGABALINE - 50 mg - Capsule
Aripiprazol Prolepha 2,5 mg tabletten;ARIPIPRAZOL;2,5 mg;Tablet;ARIPIPRAZOL - 2,5 mg - Tablet
Irbec 75 mg tabletten, tabletten;IRBESARTAN;75 mg;Tablet;IRBESARTAN - 75 mg - Tablet
Deferasirox Xiromed 180 mg filmomhulde tabletten;DEFERASIROX;180 mg;Filmomhulde tablet;DEFERASIROX - 180 mg - Filmomhulde tablet
Fesoterodine Accord 8 mg tabletten met verlengde afgifte;FESOTERODINE;8 mg;Tablet met verlengde afgifte;FESOTERODINE - 8 mg - Tablet met verlengde afgifte
Hezkue 12,5 mg/dosis, suspensie voor oraal gebruik;SILDENAFIL;12,5 mg/dosis;Suspensie voor oraal gebruik;SILDENAFIL - 12,5 mg/dosis - Suspensie voor oraal gebruik
Euvascor 40 mg/10 mg, harde capsules;ATORVASTATINE/PERINDOPRIL;40 mg/10 mg;Capsule;ATORVASTATINE/PERINDOPRIL - 40 mg/10 mg - Capsule
Sugammadex Qilu 100 mg/ml oplossing voor injectie;SUGAMMADEX;100 mg/ml;Oplossing voor injectie;SUGAMMADEX - 100 mg/ml - Oplossing voor injectie
Olmesartan medoxomil Glenmark 20 mg filmomhulde tabletten;OLMESARTANMEDOXOMIL;20 mg;Filmomhulde tablet;OLMESARTANMEDOXOMIL - 20 mg - Filmomhulde tablet
Tapentadol Retard Xiromed 50 mg tabletten met verlengde afgifte;TAPENTADOL;50 mg;Tablet met verlengde afgifte;TAPENTADOL - 50 mg - Tablet met verlengde afgifte
Ethinylestradiol/Drospirenon CF 0,03 mg/3 mg, filmomhulde tabletten;DROSPIRENON/ETHINYLESTRADIOL;0,03 mg/3 mg;Filmomhulde tablet;DROSPIRENON/ETHINYLESTRADIOL - 0,03 mg/3 mg - Filmomhulde tablet
Doporio 25 mg/100 mg tabletten;CARBIDOPA/LEVODOPA;25 mg/100 mg;Tablet;CARBIDOPA/LEVODOPA - 25 mg/100 mg - Tablet
Dalingo 165 mg tabletten met verlengde afgifte;PREGABALINE;165 mg;Tablet met verlengde afgifte;PREGABALINE - 165 mg - Tablet met verlengde afgifte
Escitalopram 20mg/ml Focus, druppels voor oraal gebruik, oplossing;ESCITALOPRAM;20mg/ml;Druppels voor oraal gebruik;ESCITALOPRAM - 20mg/ml - Druppels voor oraal gebruik
Protamine sulfaat LEO Pharma 1400 anti-heparine IE/ml oplossing voor injectie en infusie;PROTAMINE;1400 anti-heparine IE/ml;Oplossing voor injectie of infusie;PROTAMINE - 1400 anti-heparine IE/ml - Oplossing voor injectie of infusie
Pollinex graspollen Instel- en Onderhoudskuur, suspensie voor injectie in een voorgevulde spuit 300, 800 en 2000 SU/0,5 ml;GRASPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD;800 eenheden;Suspensie voor injectie;GRASPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD - 800 eenheden - Suspensie voor injectie
Olanzapine Aurobindo 10 mg tabletten;OLANZAPINE;10 mg;Tablet;OLANZAPINE - 10 mg - Tablet
Deferasirox Umedica 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet
Piperacilline/Tazobactam Tillomed 4 g/0,5 g poeder voor oplossing voor infusie;PIPERACILLINE/TAZOBACTAM;4 g/0,5 g;Poeder voor oplossing voor infusie;PIPERACILLINE/TAZOBACTAM - 4 g/0,5 g - Poeder voor oplossing voor infusie
Ambrisentan Sandoz 10 mg, filmomhulde tabletten;AMBRISENTAN;10 mg;Filmomhulde tablet;AMBRISENTAN - 10 mg - Filmomhulde tablet
Mitomycine Accord 20 mg, poeder voor oplossing voor injectie / infusie of intravesicaal gebruik;MITOMYCINE;20 mg;Poeder voor oplossing voor injectie of infusie;MITOMYCINE - 20 mg - Poeder voor oplossing voor injectie of infusie
Erlotinib Synthon 25 mg, filmomhulde tabletten;ERLOTINIB;25 mg;Filmomhulde tablet;ERLOTINIB - 25 mg - Filmomhulde tablet
Rivastigmine Viatris 6 mg, harde capsule;RIVASTIGMINE;6 mg;Capsule;RIVASTIGMINE - 6 mg - Capsule
Zopranol HCTZ 30 mg/12,5 mg filmomhulde tabletten;HYDROCHLOORTHIAZIDE/ZOFENOPRIL;30 mg/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/ZOFENOPRIL - 30 mg/12,5 mg - Filmomhulde tablet
Atorvastatine Mylan 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet
Amitriptyline Expharma  25 mg filmomhulde tabletten;AMITRIPTYLINE;25 mg;Filmomhulde tablet;AMITRIPTYLINE - 25 mg - Filmomhulde tablet
Fulvestrant Leon Farma 250 mg oplossing voor injectie in een voorgevulde spuit;FULVESTRANT;250 mg;Oplossing voor injectie;FULVESTRANT - 250 mg - Oplossing voor injectie
Methadon HCl Aurobindo 20 mg, tabletten;METHADON;20 mg;Tablet;METHADON - 20 mg - Tablet
Betahistine Amarox 24 mg, tabletten;BETAHISTINE;24 mg;Tablet;BETAHISTINE - 24 mg - Tablet
Inegy 10/80, tabletten 10 mg/80 mg;EZETIMIB/SIMVASTATINE;10 mg/80 mg;Tablet;EZETIMIB/SIMVASTATINE - 10 mg/80 mg - Tablet
Escitalopram Sandoz 10 mg, filmomhulde tabletten;ESCITALOPRAM;10 mg;Filmomhulde tablet;ESCITALOPRAM - 10 mg - Filmomhulde tablet
Ivabradine Aurobindo 5 mg, filmomhulde tabletten;IVABRADINE;5 mg;Filmomhulde tablet;IVABRADINE - 5 mg - Filmomhulde tablet
Iomeron 250, oplossing voor injectie 510 mg/ml (250 mgI/ml);JOMEPROL;510 mg/ml;Oplossing voor injectie;JOMEPROL - 510 mg/ml - Oplossing voor injectie
Abirateron Sandoz 1000 mg, filmomhulde tabletten;ABIRATERON;1000 mg;Filmomhulde tablet;ABIRATERON - 1000 mg - Filmomhulde tablet
Citalopram Aurobindo 10 mg filmomhulde tabletten;CITALOPRAM;10 mg;Filmomhulde tablet;CITALOPRAM - 10 mg - Filmomhulde tablet
Montelukast Krka 5 mg kauwtabletten;MONTELUKAST;5 mg;Kauwtablet;MONTELUKAST - 5 mg - Kauwtablet
Octreotide Sandoz 0,1 mg/ml, oplossing voor injectie;OCTREOTIDE;0,1 mg/ml;Oplossing voor injectie;OCTREOTIDE - 0,1 mg/ml - Oplossing voor injectie
Tapentadol Retard Xiromed 200 mg tabletten met verlengde afgifte;TAPENTADOL;200 mg;Tablet met verlengde afgifte;TAPENTADOL - 200 mg - Tablet met verlengde afgifte
Nifedipine CF 5 mg, capsules;NIFEDIPINE;5 mg;Capsule;NIFEDIPINE - 5 mg - Capsule
Desmopressine-acetaat Sandoz 0,2 mg, tabletten;DESMOPRESSINE;0,2 mg;Tablet;DESMOPRESSINE - 0,2 mg - Tablet
Sildenafil CF 100 mg, filmomhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet
Malanxin 5 mg, filmomhulde tabletten;OLANZAPINE;5 mg;Filmomhulde tablet;OLANZAPINE - 5 mg - Filmomhulde tablet
Rosuvastatine Mylan 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet
Fibclot 1,5 g, poeder en oplosmiddel voor oplossing voor injectie/infusie;FIBRINOGEEN, HUMAAN;1,5 g;Poeder en oplosmiddel voor oplossing voor injectie;FIBRINOGEEN, HUMAAN - 1,5 g - Poeder en oplosmiddel voor oplossing voor injectie
Levobupivacaïne Fresenius Kabi 2,5 mg/ml, oplossing voor injectie/infusie;LEVOBUPIVACAÏNE;2,5 mg/ml;Oplossing voor infusie;LEVOBUPIVACAÏNE - 2,5 mg/ml - Oplossing voor infusie
Dasatinib Sandoz 100 mg, filmomhulde tabletten;DASATINIB;100 mg;Filmomhulde tablet;DASATINIB - 100 mg - Filmomhulde tablet
Pantoprazol Teva 40 mg, maagsapresistente tabletten;PANTOPRAZOL;40 mg;Maagsapresistente tablet;PANTOPRAZOL - 40 mg - Maagsapresistente tablet
Esomeprazol Cipla 10 mg, maagsapresistent granulaat voor suspensie voor oraal gebruik in sachet;ESOMEPRAZOL;10 mg;Maagsapresistent granulaat voor orale suspensie;ESOMEPRAZOL - 10 mg - Maagsapresistent granulaat voor orale suspensie
Salvacyl 11,25 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Triptoreline Embonaat;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Triptoreline Embonaat - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte
Fludeoxyglucose (18F) RTM 200 MBq/ml, oplossing voor injectie;FLUDEOXYGLUCOSE (18F);200 MBq/ml;Oplossing voor injectie;FLUDEOXYGLUCOSE (18F) - 200 MBq/ml - Oplossing voor injectie
Lactulosestroop Sandoz 670 mg/ml, stroop;LACTULOSE, VLOEIBAAR;670 mg/ml;Stroop;LACTULOSE, VLOEIBAAR - 670 mg/ml - Stroop
Perindopril tert-butylamine Aurobindo 4 mg, tabletten;PERINDOPRIL;4 mg;Tablet;PERINDOPRIL - 4 mg - Tablet
Effezel Forte 3 mg/g + 25 mg/g, gel;ADAPALEEN/BENZOYLPEROXIDE;3 mg/g;Gel;ADAPALEEN/BENZOYLPEROXIDE - 3 mg/g - Gel
Ethinylestradiol/Drospirenon Viatris 0,02/3 mg, filmomhulde tabletten;DROSPIRENON/ETHINYLESTRADIOL;0,02/3 mg;Filmomhulde tablet;DROSPIRENON/ETHINYLESTRADIOL - 0,02/3 mg - Filmomhulde tablet
Levodopa/Carbidopa/Entacapone Teva 50 mg/12.5 mg/200 mg, filmomhulde tabletten;CARBIDOPA/ENTACAPONE/LEVODOPA;50 mg/12,5 mg/200 mg;Filmomhulde tablet;CARBIDOPA/ENTACAPONE/LEVODOPA - 50 mg/12,5 mg/200 mg - Filmomhulde tablet
Spironolacton Prolepha 12,5 mg, filmomhulde tabletten;SPIRONOLACTON;12,5 mg;Filmomhulde tablet;SPIRONOLACTON - 12,5 mg - Filmomhulde tablet
Sendolor 20 mg/ml, oplossing voor infusie;MORFINE;20 mg/ml;Oplossing voor infusie;MORFINE - 20 mg/ml - Oplossing voor infusie
Olanzapine Jubilant 20 mg orodispergeerbare tabletten;OLANZAPINE;20 mg;Orodispergeerbare tablet;OLANZAPINE - 20 mg - Orodispergeerbare tablet
Converide 150mg/12,5mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150mg/12,5mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150mg/12,5mg - Filmomhulde tablet
MisoOne 400 microgram, tablet;MISOPROSTOL;400 mcg;Tablet;MISOPROSTOL - 400 mcg - Tablet
Topiramaat Aurobindo 100 mg, filmomhulde tabletten;TOPIRAMAAT;100 mg;Filmomhulde tablet;TOPIRAMAAT - 100 mg - Filmomhulde tablet
Ropivacaïne HCl Fresenius Kabi 2 mg/ml oplossing voor infusie;ROPIVACAÏNE;2 mg/ml;Oplossing voor infusie;ROPIVACAÏNE - 2 mg/ml - Oplossing voor infusie
Levetiracetam AMETAS 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet
Olmesartan medoxomil Krka 40 mg filmomhulde tabletten;OLMESARTANMEDOXOMIL;40 mg;Filmomhulde tablet;OLMESARTANMEDOXOMIL - 40 mg - Filmomhulde tablet
Iloprost Waymade 20 microgram/ml, concentraat voor oplossing voor infusie;ILOPROST TROMETAMOL;20 mcg/ml;Concentraat voor oplossing voor infusie;ILOPROST TROMETAMOL - 20 mcg/ml - Concentraat voor oplossing voor infusie
Minrin 4 microgram/ml oplossing voor injectie;DESMOPRESSINE;4 mcg/ml;Oplossing voor injectie;DESMOPRESSINE - 4 mcg/ml - Oplossing voor injectie
LOXMED Respadur NL 100% v/v, medicinaal gas, cryogeen;ZUURSTOF, MEDICINAAL (E 948);100%;Medicinaal gas;ZUURSTOF, MEDICINAAL (E 948) - 100% - Medicinaal gas
Fragmin 2.500 IE/ml, oplossing voor injectie;DALTEPARINE;2.500 IE/ml;Oplossing voor injectie;DALTEPARINE - 2.500 IE/ml - Oplossing voor injectie
Flunitrazepam CF 2 mg, tabletten;FLUNITRAZEPAM;2 mg;Tablet;FLUNITRAZEPAM - 2 mg - Tablet
Risperidon G.L. 2 mg filmomhulde tabletten, filmomhulde tabletten;RISPERIDON;2 mg;Filmomhulde tablet;RISPERIDON - 2 mg - Filmomhulde tablet
Bisoprololfumaraat Unichem 10 mg tabletten;BISOPROLOL;10 mg;Tablet;BISOPROLOL - 10 mg - Tablet
Clozapine CF 100 mg, tabletten;CLOZAPINE;100 mg;Tablet;CLOZAPINE - 100 mg - Tablet
Salmeterol/Fluticasonpropionaat Glenmark 25 microgram/250 microgram/dosis aërosol, suspensie;FLUTICASON/SALMETEROL;25 mcg/250 mcg/dosis;Aërosol;FLUTICASON/SALMETEROL - 25 mcg/250 mcg/dosis - Aërosol
Lenalidomide Olainfarm 2,5 mg harde capsules;LENALIDOMIDE;2,5 mg;Capsule;LENALIDOMIDE - 2,5 mg - Capsule
Quetiapine Nevik 200 mg, filmomhulde tabletten;QUETIAPINE;200 mg;Filmomhulde tablet;QUETIAPINE - 200 mg - Filmomhulde tablet
Arparial 50 mg/5 mg, filmomhulde tabletten;IVABRADINE/METOPROLOL;50 mg/5 mg;Filmomhulde tablet;IVABRADINE/METOPROLOL - 50 mg/5 mg - Filmomhulde tablet
Efavirenz/Emtricitabine/Tenofovirdisoproxil Sandoz  600 mg/200 mg/245 mg, filmomhulde tabletten;EFAVIRENZ/EMTRICITABINE/TENOFOVIRDISOPROXIL;600 mg/200 mg/245 mg;Filmomhulde tablet;EFAVIRENZ/EMTRICITABINE/TENOFOVIRDISOPROXIL - 600 mg/200 mg/245 mg - Filmomhulde tablet
Fluoxetine Aurobindo 20 mg, harde capsules;FLUOXETINE;20 mg;Capsule;FLUOXETINE - 20 mg - Capsule
Ticagrelor Amarox 90 mg filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet
Mirtazapine Amarox 15 mg filmomhulde tabletten;MIRTAZAPINE;15 mg;Filmomhulde tablet;MIRTAZAPINE - 15 mg - Filmomhulde tablet
Hydrochloorthiazide Teva 12,5 mg, tabletten;HYDROCHLOORTHIAZIDE;12,5 mg;Tablet;HYDROCHLOORTHIAZIDE - 12,5 mg - Tablet
Teveten 400, filmomhulde tabletten 400 mg;EPROSARTAN;400 mg;Filmomhulde tablet;EPROSARTAN - 400 mg - Filmomhulde tablet
Risperidon Sandoz 2 mg, filmomhulde tabletten;RISPERIDON;2 mg;Filmomhulde tablet;RISPERIDON - 2 mg - Filmomhulde tablet
Loprox, hydrofiele crème 10 mg/g;CICLOPIROXOLAMINE;10 mg/g;Crème;CICLOPIROXOLAMINE - 10 mg/g - Crème
Valganciclovir Teva 450 mg, filmomhulde tabletten;VALGANCICLOVIR;450 mg;Filmomhulde tablet;VALGANCICLOVIR - 450 mg - Filmomhulde tablet
Telmisartan/Hydrochloorthiazide Laboratorios Liconsa  80 mg/ 12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/ 12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/ 12,5 mg - Tablet
Aripiprazol Xiromed 5 mg tabletten;ARIPIPRAZOL;5 mg;Tablet;ARIPIPRAZOL - 5 mg - Tablet
Ipratropiumbromide/Salbutamol Stulln Unit Dose 0,5/2,5 mg per 2,5 ml, verneveloplossing;IPRATROPIUM/SALBUTAMOL;0,5/2,5 mg;Verneveloplossing;IPRATROPIUM/SALBUTAMOL - 0,5/2,5 mg - Verneveloplossing
Metformine HCl 500 mg Teva, filmomhulde tabletten;METFORMINE;500 mg;Filmomhulde tablet;METFORMINE - 500 mg - Filmomhulde tablet
Kolneb, 1 miljoen Internationale Eenheden (IE), poeder en oplosmiddel voor verneveloplossing;COLISTIMETHAAT  (Component A en B);1 miljoen IE;Poeder en oplosmiddel voor verneveloplossing;COLISTIMETHAAT  (Component A en B) - 1 miljoen IE - Poeder en oplosmiddel voor verneveloplossing
Rosuvastatine Teva 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet
Astarior 20 mg/10 mg, harde capsules;ATORVASTATINE/PERINDOPRIL;20 mg/10 mg;Capsule;ATORVASTATINE/PERINDOPRIL - 20 mg/10 mg - Capsule
Naproxen zetpil CF 250 mg, zetpillen;NAPROXEN;250 mg;Zetpil;NAPROXEN - 250 mg - Zetpil
Rosuvastatine Xiromed 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet
Gabapentine Sandoz 600 mg, filmomhulde tabletten;GABAPENTINE;600 mg;Filmomhulde tablet;GABAPENTINE - 600 mg - Filmomhulde tablet
Rivastigmine-neuraxpharm 6 mg, harde capsules;RIVASTIGMINE;6 mg;Capsule;RIVASTIGMINE - 6 mg - Capsule
Clofarabine Genthon 1 mg/ml, concentraat voor oplossing voor infusie;CLOFARABINE;1 mg/ml;Concentraat voor oplossing voor infusie;CLOFARABINE - 1 mg/ml - Concentraat voor oplossing voor infusie
Tarka 240 mg/4 mg, tabletten met gereguleerde afgifte;TRANDOLAPRIL/VERAPAMIL;240 mg/4 mg;Tablet met gereguleerde afgifte;TRANDOLAPRIL/VERAPAMIL - 240 mg/4 mg - Tablet met gereguleerde afgifte
Ondansetron B. Braun 2 mg/ml, oplossing voor injectie;ONDANSETRON;2 mg/ml;Oplossing voor injectie;ONDANSETRON - 2 mg/ml - Oplossing voor injectie
Cisordinol 20 mg/ml, druppelvloeistof;ZUCLOPENTIXOL;20 mg/ml;Druppels voor oraal gebruik;ZUCLOPENTIXOL - 20 mg/ml - Druppels voor oraal gebruik
Pravastatinenatrium Sandoz 20, tabletten 20 mg;PRAVASTATINE;20 mg;Tablet;PRAVASTATINE - 20 mg - Tablet
Esmolol HCl Orpha 100 mg/10 ml oplossing voor injectie;ESMOLOL;100 mg/10 ml;Oplossing voor injectie;ESMOLOL - 100 mg/10 ml - Oplossing voor injectie
Irbesartan/Hydrochloorthiazide Liconsa 150 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150 mg/12,5 mg - Tablet
Pomalidomide Sandoz 4 mg, harde capsules;POMALIDOMIDE;4 mg;Capsule;POMALIDOMIDE - 4 mg - Capsule
Naproxen Aurobindo EC 250 mg, maagsapresistente tabletten;NAPROXEN;250 mg;Maagsapresistente tablet;NAPROXEN - 250 mg - Maagsapresistente tablet
Doxycycline Accord 100 mg Dispers tabletten;DOXYCYCLINE;100 mg;Dispergeerbare tablet;DOXYCYCLINE - 100 mg - Dispergeerbare tablet
Dasatinib Krka 80 mg filmomhulde tabletten;DASATINIB;80 mg;Filmomhulde tablet;DASATINIB - 80 mg - Filmomhulde tablet
Ghemaxan 12.000 IE (120 mg)/0,8 ml oplossing voor injectie in een voorgevulde spuit;ENOXAPARINE;12,000 IE;Oplossing voor injectie;ENOXAPARINE - 12,000 IE - Oplossing voor injectie
Atorvastatine Centrient 60 mg, filmomhulde tabletten;ATORVASTATINE;60 mg;Filmomhulde tablet;ATORVASTATINE - 60 mg - Filmomhulde tablet
Pazopanib Accord 200 mg filmomhulde tabletten;PAZOPANIB;200 mg;Filmomhulde tablet;PAZOPANIB - 200 mg - Filmomhulde tablet
Duspatal 135 mg, omhulde tabletten;MEBEVERINE;135 mg;Omhulde tablet;MEBEVERINE - 135 mg - Omhulde tablet
Orbufox Easyhaler 160/4,5 microgram/dosis, inhalatiepoeder;BUDESONIDE/FORMOTEROL;160/4,5 mcg/dosis;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 160/4,5 mcg/dosis - Inhalatiepoeder
Beclometasondipropionaat Teva 50 microgram/dosis CFK-vrije Inhalator, aërosol oplossing;BECLOMETASON;50 mcg/dosis;Aërosol;BECLOMETASON - 50 mcg/dosis - Aërosol
Natriumbenzylpenicilline Sandoz 500.000 IE, poeder voor oplossing voor injectie of infusie;BENZYLPENICILLINE;500,000 IE;Poeder voor oplossing voor injectie of infusie;BENZYLPENICILLINE - 500,000 IE - Poeder voor oplossing voor injectie of infusie
Fexofenadine HCl Viatris 180 mg, filmomhulde tabletten;FEXOFENADINE;180 mg;Filmomhulde tablet;FEXOFENADINE - 180 mg - Filmomhulde tablet
Relatrom 25 mg, filmomhulde tabletten;ELTROMBOPAGOLAMINE;25 mg;Filmomhulde tablet;ELTROMBOPAGOLAMINE - 25 mg - Filmomhulde tablet
Esomeprazol CF i.v. 40 mg, poeder voor oplossing voor injectie en infusie;ESOMEPRAZOL;40 mg;Poeder voor oplossing voor injectie of infusie;ESOMEPRAZOL - 40 mg - Poeder voor oplossing voor injectie of infusie
Amlodipine (als besilaat) Sandoz 5 mg, tabletten;AMLODIPINE;5 mg;Tablet;AMLODIPINE - 5 mg - Tablet
Telmisartan Glenmark 20 mg, Filmomhulde Tabletten;TELMISARTAN;20 mg;Filmomhulde tablet;TELMISARTAN - 20 mg - Filmomhulde tablet
Lamivudine Sandoz 100 mg, filmomhulde tabletten;LAMIVUDINE;100 mg;Filmomhulde tablet;LAMIVUDINE - 100 mg - Filmomhulde tablet
Soluprick SQ Katepithelia 10.000 BU/ml, oplossing voor huidpriktest;WATERIG EXTRACT VAN FELIS CATUS;10,000 BU/ml;Oplossing voor huidpriktest;WATERIG EXTRACT VAN FELIS CATUS - 10,000 BU/ml - Oplossing voor huidpriktest
Tramadol HCl/Paracetamol 37,5/325 mg Teva, filmomhulde tabletten;PARACETAMOL/TRAMADOL;37,5/325 mg;Filmomhulde tablet;PARACETAMOL/TRAMADOL - 37,5/325 mg - Filmomhulde tablet
ACARIZAX® 12 SQ-HDM, lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor sublinguaal gebruik
Latanotim 50 microgram/ml + 5 mg/ml oogdruppels, oplossing;LATANOPROST/TIMOLOL;50 mcg/ml;Oogdruppels;LATANOPROST/TIMOLOL - 50 mcg/ml - Oogdruppels
Oxycodon HCl Aurobindo Retard 60 mg, tabletten met verlengde afgifte;OXYCODON;60 mg;Tablet met verlengde afgifte;OXYCODON - 60 mg - Tablet met verlengde afgifte
Enalapril Maleaat Mylan 20 mg, tabletten;ENALAPRIL;20 mg;Tablet;ENALAPRIL - 20 mg - Tablet
Carvedilol Sandoz 25 mg, tabletten;CARVEDILOL;25 mg;Tablet;CARVEDILOL - 25 mg - Tablet
Aripiprazol Teva 15 mg, tabletten;ARIPIPRAZOL;15 mg;Tablet;ARIPIPRAZOL - 15 mg - Tablet
