PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
CHLOORHEXIDINEDIGLUCONAAT - 40 mg/ml - Oplossing voor cutaan gebruik;Hibiscrub, oplossing voor cutaan gebruik 40 mg/ml;40 mg/ml;CHLOORHEXIDINEDIGLUCONAAT;Oplossing voor cutaan gebruik;Uitsluitend apotheek of drogist
FLUDEOXYGLUCOSE (18F) - 185 MBq/ml - Oplossing voor injectie;Fludeoxyglucose (18F) Curium-international, 185 MBq/ml oplossing voor injectie;185 MBq/ml;FLUDEOXYGLUCOSE (18F);Oplossing voor injectie;Uitsluitend recept
JOVERSOL - 300 mg - Oplossing voor injectie of infusie;Optiray 300, oplossing voor injectie of infusie, 300 mg I/ml;300 mg;JOVERSOL;Oplossing voor injectie of infusie;Uitsluitend recept
FORMOTEROL - 6 microgram - Inhalatiepoeder;Formoterol Novolizer 6 microgram, inhalatiepoeder;6 microgram;FORMOTEROL;Inhalatiepoeder;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 125 mg - Tablet;Madopar 125 mg, tabletten;125 mg;BENSERAZIDE/LEVODOPA;Tablet;Uitsluitend recept
PSYLLIUM VEZELS (WATERVRIJ) - 581 mg/g - Poeder voor orale suspensie;Metamucil Suikervrij Lemon 581 mg/g;581 mg/g;PSYLLIUM VEZELS (WATERVRIJ);Poeder voor orale suspensie;Uitsluitend apotheek of drogist
LEVOTHYROXINE - 150 microgram - Tablet;Levothyroxinenatrium Aristo 150 microgram, tabletten;150 microgram;LEVOTHYROXINE;Tablet;Uitsluitend recept
EVEROLIMUS - 2,5 mg - Tablet;Everolimus CF 2,5 mg, tabletten;2,5 mg;EVEROLIMUS;Tablet;Uitsluitend recept
DASATINIB - 20 mg - Filmomhulde tablet;Dasatinib Zentiva 20 mg, filmomhulde tabletten;20 mg;DASATINIB;Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300/12,5 mg - Filmomhulde tablet;Irbesartan/Hydrochloorthiazide Sandoz 300/12,5 mg, filmomhulde tabletten;300/12,5 mg;HYDROCHLOORTHIAZIDE/IRBESARTAN;Filmomhulde tablet;Uitsluitend recept
FERRO - 20 mg/ml - Suspensie voor oraal gebruik;Ferrofumaraat Teva 20 mg/ml, suspensie;20 mg/ml;FERRO;Suspensie voor oraal gebruik;Uitsluitend recept
SEVELAMEER - 800 mg - Filmomhulde tablet;Sevelameercarbonaat Mylan 800 mg, filmomhulde tabletten;800 mg;SEVELAMEER;Filmomhulde tablet;Uitsluitend recept
ENOXAPARINE - 6.000 IE - Oplossing voor injectie;Ghemaxan 6.000 IE (60 mg)/0,6 ml oplossing voor injectie in een voorgevulde spuit;6.000 IE;ENOXAPARINE;Oplossing voor injectie;Uitsluitend recept
BIPERIDEEN - 2 mg - Tablet;Akineton, tabletten 2 mg;2 mg;BIPERIDEEN;Tablet;Uitsluitend recept
MACROGOL 4000 - 4 g - Poeder voor drank;Macrogol Aurobindo 4 gram, poeder voor drank in sachet;4 g;MACROGOL 4000;Poeder voor drank;Uitsluitend recept
LISINOPRIL - 20 mg - Tablet;Lisinopril Mylan 20 mg tabletten;20 mg;LISINOPRIL;Tablet;Uitsluitend recept
NILOTINIB - 200 mg - Capsule;Nilotinib Viatris 200 mg, harde capsules;200 mg;NILOTINIB;Capsule, hard;Uitsluitend recept
METOPROLOL - 47.5 mg - Tablet met verlengde afgifte;Metoprololsuccinaat Sandoz retard 50, tabletten met gereguleerde afgifte 47.5 mg;47.5 mg;METOPROLOL;Tablet met verlengde afgifte;Uitsluitend recept
FELODIPINE - 5 mg - Tablet met verlengde afgifte;Felodipine Aurobindo Retard 5 mg, tablet met verlengde afgifte;5 mg;FELODIPINE;Tablet met verlengde afgifte;Uitsluitend recept
ACONITUM NAPELLUS/ARNICA MONTANA/BELLADONNA/BELLIS PERENNIS/CALENDULA OFFICINALIS/CHAMOMILLA/ECHINACEA  ANGUSTIFOLIA/ECHINACEA PURPUREA/HAMAMELIS VIRGINIANA/HEPAR SULPHUR/HYPERICUM PERFORATUM/MERCURIUS SOLUBILIS/MILLEFOLIUM/SYMPHYTUM OFFICINALE -  - Crème;Traumeel S Spier- en gewrichtscrème;;ACONITUM NAPELLUS/ARNICA MONTANA/BELLADONNA/BELLIS PERENNIS/CALENDULA OFFICINALIS/CHAMOMILLA/ECHINACEA  ANGUSTIFOLIA/ECHINACEA PURPUREA/HAMAMELIS VIRGINIANA/HEPAR SULPHUR/HYPERICUM PERFORATUM/MERCURIUS SOLUBILIS/MILLEFOLIUM/SYMPHYTUM OFFICINALE;Crème;Uitsluitend apotheek of drogist
RIVAROXABAN - 20 mg - Filmomhulde tablet;Rivaroxaban Intas 20 mg, filmomhulde tabletten;20 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
EXEMESTAAN - 25 mg - Filmomhulde tablet;Exemestaan Mylan 25 mg, filmomhulde tabletten;25 mg;EXEMESTAAN;Filmomhulde tablet;Uitsluitend recept
CANDESARTAN - 32 mg - Tablet;Candesartan cilexetil Sandoz 32 mg, tabletten;32 mg;CANDESARTAN;Tablet;Uitsluitend recept
TESTOSTERON - 16,2 mg/g - Gel voor transdermaal gebruik;Testogel 16,2 mg/g, gel voor transdermaal gebruik;16,2 mg/g;TESTOSTERON;Gel voor transdermaal gebruik;Uitsluitend recept
OLMESARTANMEDOXOMIL - 20 mg - Filmomhulde tablet;Olmesartan Medoxomil Accord 20 mg filmomhulde tabletten;20 mg;OLMESARTANMEDOXOMIL;Filmomhulde tablet;Uitsluitend recept
PARACETAMOL - 500 mg - Capsule;Paracaldran 500 mg, zachte capsules;500 mg;PARACETAMOL;Capsule, zacht;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
BUSULFAN - 6 mg/ml - Concentraat voor oplossing voor infusie;Busulfan Teva 6 mg/ml, concentraat voor oplossing voor infusie;6 mg/ml;BUSULFAN;Concentraat voor oplossing voor infusie;Uitsluitend recept
PROGESTERON - 100 mg - Capsule;Utrogestan, capsules 100 mg;100 mg;PROGESTERON;Capsule, zacht;Uitsluitend recept
CIPROFLOXACINE - 250 mg - Filmomhulde tablet;Ciprinol 250 mg, filmomhulde tabletten;250 mg;CIPROFLOXACINE;Filmomhulde tablet;Uitsluitend recept
SALBUTAMOL - 100 microgram/dosis - Aërosol;Salbutamol 100 Redihaler 100 microgram/dosis, aërosol, suspensie;100 microgram/dosis;SALBUTAMOL;Aërosol, suspensie;Uitsluitend recept
CHOLECALCIFEROL/ALENDRONAAT - 70 mg/5600 IE - Tablet;Alendroninezuur/cholecalciferol Teva 70 mg/5600 IE, tabletten;70 mg/5600 IE;CHOLECALCIFEROL/ALENDRONAAT;Tablet;Uitsluitend recept
RIVAROXABAN - 20 mg - Capsule;Rivaroxaban Zentiva 20 mg harde capsules;20 mg;RIVAROXABAN;Capsule, hard;Uitsluitend recept
NEVIRAPINE - 200 mg - Tablet;Nevirapine Viatris 200 mg, tabletten;200 mg;NEVIRAPINE;Tablet;Uitsluitend recept
CITALOPRAM - 30 mg - Filmomhulde tablet;Citalopram Aurobindo 30 mg filmomhulde tabletten;30 mg;CITALOPRAM;Filmomhulde tablet;Uitsluitend recept
FENOBARBITAL - 25 mg - Tablet;Fenobarbital Teva 25 mg, tabletten;25 mg;FENOBARBITAL;Tablet;Uitsluitend recept
VANCOMYCINE - 125 mg - Capsule;Vancomycine Strides 125 mg harde capsules;125 mg;VANCOMYCINE;Capsule, hard;Uitsluitend recept
CELECOXIB - 200 mg - Capsule;Celebrex 200 mg, harde capsules;200 mg;CELECOXIB;Capsule, hard;Uitsluitend recept
LEVONORGESTREL - 1,5 mg - Tablet;Kruidvat noodanticonceptie levonorgestrel, 1,5 mg tablet;1,5 mg;LEVONORGESTREL;Tablet;Uitsluitend apotheek of drogist
MEROPENEM - 500 mg - Poeder voor oplossing voor injectie of infusie;Meropenem Venus Pharma 500 mg poeder voor oplossing voor injectie/infusie;500 mg;MEROPENEM;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
METHADON - 10 mg - Tablet;Methadon HCl Sandoz 10 mg, tabletten;10 mg;METHADON;Tablet;Uitsluitend recept
AMITRIPTYLINE - 50 mg - Filmomhulde tablet;Amitriptyline 50 mg Focus Care, filmomhulde tabletten;50 mg;AMITRIPTYLINE;Filmomhulde tablet;Uitsluitend recept
CEFTRIAXON - 2 g - Poeder voor oplossing voor infusie;Ceftriaxon Fresenius Kabi 2 g, poeder voor oplossing voor infusie;2 g;CEFTRIAXON;Poeder voor oplossing voor infusie;Uitsluitend recept
KETOCONAZOL - 20 mg/g - Shampoo;Ketoconazol Aurobindo Shampoo 20 mg/g, shampoo;20 mg/g;KETOCONAZOL;Shampoo;Uitsluitend recept
LOSARTAN - 100 mg - Filmomhulde tablet;Losartan kalium Jubilant 100 mg, filmomhulde tabletten;100 mg;LOSARTAN;Filmomhulde tablet;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/ (Ca2+)/  (E 509)/ (CL-)/GLYCERO, GEHYDRATEERD/FENYLALANINE, (L-)/ (3-)/GLUCOSE /GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/ (K+)/ (E 508)/LEUCINE, (L-) (E 641)/LYSINE, L-/ (MG2+) /  (E 511)/METHIONINE, (L-)/ (NA+) /  (E 262)/OLIJFOLIE/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) -  - Emulsie voor infusie;OLIMEL N9E, emulsie voor infusie;;(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/ (Ca2+)/  (E 509)/ (CL-)/GLYCERO, GEHYDRATEERD/FENYLALANINE, (L-)/ (3-)/GLUCOSE /GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/ (K+)/ (E 508)/LEUCINE, (L-) (E 641)/LYSINE, L-/ (MG2+) /  (E 511)/METHIONINE, (L-)/ (NA+) /  (E 262)/OLIJFOLIE/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);Emulsie voor infusie;Uitsluitend recept
BROOMHEXINE - 8 mg - Tablet;Broomhexine HCl hoesttabletten Sanias 8 mg, tabletten;8 mg;BROOMHEXINE;Tablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
DICLOFENAC /MISOPROSTOL -  - Omhulde tablet;Arthrotec 50, tabletten met gereguleerde afgifte;;DICLOFENAC /MISOPROSTOL;Omhulde tablet;Uitsluitend recept
CITALOPRAM - 40 mg - Filmomhulde tablet;Citalopram Aristo 40 mg filmomhulde tabletten;40 mg;CITALOPRAM;Filmomhulde tablet;Uitsluitend recept
NICOTINE - 7 mg - Pleister voor transdermaal gebruik;Nicotinell 7 mg/24u, pleister voor transdermaal gebruik;7 mg;NICOTINE;Pleister voor transdermaal gebruik;Uitsluitend apotheek of drogist
MEROPENEM - 1 g - Poeder voor oplossing voor injectie of infusie;Merovan IV 1 g poeder voor oplossing voor injectie of infusie;1 g;MEROPENEM;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
JOBENGUAAN [123 I] HEMI - 74 MBq/ml - Oplossing voor injectie;AdreView, Iobenguane (123I) Injection, oplossing voor injectie 74 MBq/ml;74 MBq/ml;JOBENGUAAN [123 I] HEMI;Oplossing voor injectie;Uitsluitend recept
LIDOCAINE - 10 mg/ml - Oplossing voor injectie;Lidocaïne HCl B. Braun 10 mg/ml, oplossing voor injectie;10 mg/ml;LIDOCAINE;Oplossing voor injectie;Uitsluitend recept
ALFA AMYL CINNAMALDEHYDE/BENZOCAINE/BUTYLPARAHYDROXY/CINNAMALDEHYDE /CINNAMYLALCOHOL/CLIOQUINOL/COLOFONIUM/DIBENZOTHIAZYL DISULFIDE/DIPENTAMETHYLEENTHIURAM DISULFIDE/DISULFIRAM/EIKENMOS ABSOLUUT/EPOXYHARS/ETHYLPARAHYDROXY (E 214)/EUGENOL/FORMALDEHYDE/GERANIOL/HYDROXYCITRONELLAL/ISOEUGENOL/DICHROMAAT/KOBALT /MERCAPTOBENZOTHIAZOL/METHYLCHLOROISOTHIAZOLON-METHYLISOTHIAZOLON MENGSEL (3:1)/METHYLPARAHYDROXY (E 218)/MORFOLINYLMERCAPTOBENZOTHIAZOL/N-CYCLOHEXYLBENZOTHIAZYLSULFENAMIDE/N-ISOPROPYL-N'-FENYL PARAFENYLEENDIAMINE/NEOMYCINE/NIKKEL(II)  /P-TERTIAIR BUTYLFENOL FORMALDEHYDE HARS/PARAFENYLEENDIAMINE/PERUBALSEM/PROPYLPARAHYDROXY/QUATERNIUM-15/TETRAMETHYLTHIURAM MONOSULFIDE/THIRAM /WOLVETALCOHOLEN -  - Zalf;Trolab, zalf/applicatievloeistof voor cutaan gebruik;;ALFA AMYL CINNAMALDEHYDE/BENZOCAINE/BUTYLPARAHYDROXY/CINNAMALDEHYDE /CINNAMYLALCOHOL/CLIOQUINOL/COLOFONIUM/DIBENZOTHIAZYL DISULFIDE/DIPENTAMETHYLEENTHIURAM DISULFIDE/DISULFIRAM/EIKENMOS ABSOLUUT/EPOXYHARS/ETHYLPARAHYDROXY (E 214)/EUGENOL/FORMALDEHYDE/GERANIOL/HYDROXYCITRONELLAL/ISOEUGENOL/DICHROMAAT/KOBALT /MERCAPTOBENZOTHIAZOL/METHYLCHLOROISOTHIAZOLON-METHYLISOTHIAZOLON MENGSEL (3:1)/METHYLPARAHYDROXY (E 218)/MORFOLINYLMERCAPTOBENZOTHIAZOL/N-CYCLOHEXYLBENZOTHIAZYLSULFENAMIDE/N-ISOPROPYL-N'-FENYL PARAFENYLEENDIAMINE/NEOMYCINE/NIKKEL(II)  /P-TERTIAIR BUTYLFENOL FORMALDEHYDE HARS/PARAFENYLEENDIAMINE/PERUBALSEM/PROPYLPARAHYDROXY/QUATERNIUM-15/TETRAMETHYLTHIURAM MONOSULFIDE/THIRAM /WOLVETALCOHOLEN;Zalf;Uitsluitend recept
(Ca2+)/  (E 509)/ (CL-)/GLUCOSE /GLUCOSE /LACTAAT (R,S) (-)/ (MG2+) /  (E 511)/ (NA+) //LACTAAT (R,S) (E 325) - 4,25% - Oplossing voor peritoneale dialyse;Balance 4,25% glucose, 1,75 mmol/l calcium, oplossing voor peritoneale dialyse;4,25%;(Ca2+)/  (E 509)/ (CL-)/GLUCOSE /GLUCOSE /LACTAAT (R,S) (-)/ (MG2+) /  (E 511)/ (NA+) //LACTAAT (R,S) (E 325);Oplossing voor peritoneale dialyse;Uitsluitend recept
XYLOMETAZOLINE - 1 mg/ml - Neusspray;Xylometazoline HCl neusspray 1 mg/ml, neusspray, oplossing;1 mg/ml;XYLOMETAZOLINE;Neusspray, oplossing;Uitsluitend apotheek of drogist
LEVOTHYROXINE - 25 microgram - Tablet;Levothyroxine natrium Uni-Pharma 25 microgram Tabletten;25 microgram;LEVOTHYROXINE;Tablet;Uitsluitend recept
VALSARTAN - 320 mg - Filmomhulde tablet;Valsartan Sandoz 320 mg, filmomhulde tabletten;320 mg;VALSARTAN;Filmomhulde tablet;Uitsluitend recept
ATROPINE - 0,25 mg/ml - Oplossing voor injectie;Atropinesulfaat Teva 0,25 mg/ml, oplossing voor injectie;0,25 mg/ml;ATROPINE;Oplossing voor injectie;Uitsluitend recept
LEVETIRACETAM - 750 mg - Filmomhulde tablet;Levetiracetam Aristo 750 mg, filmomhulde tabletten;750 mg;LEVETIRACETAM;Filmomhulde tablet;Uitsluitend recept
ARTEMETHER/LUMEFANTRINE - 20 mg/120 mg - Tablet;Riamet 20 mg/120 mg, tabletten;20 mg/120 mg;ARTEMETHER/LUMEFANTRINE;Tablet;Uitsluitend recept
HYDROCORTISON - 3,35 mg/ml - Oogdruppels;Softacor 3,35 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik;3,35 mg/ml;HYDROCORTISON;Oogdruppels, oplossing;Uitsluitend recept
GLIMEPIRIDE - 3 mg - Tablet;Glimepiride Zentiva 3 mg, tabletten;3 mg;GLIMEPIRIDE;Tablet;Uitsluitend recept
METOPROLOL - 23,75 mg - Tablet met verlengde afgifte;Metoprololsuccinaat Retard Mylan 25, tabletten met verlengde afgifte 23,75 mg;23,75 mg;METOPROLOL;Tablet met verlengde afgifte;Uitsluitend recept
ROSUVASTATINE - 20 mg - Filmomhulde tablet;Rosuvastatine Krka 20 mg, filmomhulde tabletten;20 mg;ROSUVASTATINE;Filmomhulde tablet;Uitsluitend recept
NORTRIPTYLINE - 25 mg - Filmomhulde tablet;Nortriptyline Glenmark 25 mg filmomhulde tabletten;25 mg;NORTRIPTYLINE;Filmomhulde tablet;Uitsluitend recept
LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;Levocetirizine 2HCl Aurobindo 5 mg, filmomhulde tabletten;5 mg;LEVOCETIRIZINE;Filmomhulde tablet;Uitsluitend recept
PAROXETINE - 33,1 mg/ml - Druppels voor oraal gebruik;Parmite druppels/drank 33,1 mg/ml;33,1 mg/ml;PAROXETINE;Druppels voor oraal gebruik, oplossing;Uitsluitend recept
GALANTAMINE - 24 mg - Capsule met verlengde afgifte;Masparen retard 24 mg, harde capsules met verlengde afgifte;24 mg;GALANTAMINE;Capsule met verlengde afgifte, hard;Uitsluitend recept
ILOPROST TROMETAMOL - 20 microgram/ml - Verneveloplossing;Iloprost RAFARM 20 microgram/ml verneveloplossing;20 microgram/ml;ILOPROST TROMETAMOL;Verneveloplossing;Uitsluitend recept
EPOPROSTENOL - 1,5 mg - Poeder voor oplossing voor infusie;Flolan 1,5 mg, poeder voor oplossing voor infusie;1,5 mg;EPOPROSTENOL;Poeder voor oplossing voor infusie;Uitsluitend recept
ATORVASTATINE - 40 mg - Filmomhulde tablet;Atorvastatine CF 40 mg, filmomhulde tabletten;40 mg;ATORVASTATINE;Filmomhulde tablet;Uitsluitend recept
RAMIPRIL - 2,5 mg - Capsule;Ramipril Accord 2,5 mg, capsule hard;2,5 mg;RAMIPRIL;Capsule, hard;Uitsluitend recept
LEUPRORELINE - 7,5 mg - Poeder en oplosmiddel voor oplossing voor injectie;Eligard 7,5 mg poeder en oplosmiddel voor oplossing voor injectie;7,5 mg;LEUPRORELINE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
OLMESARTANMEDOXOMIL - 20 mg - Filmomhulde tablet;Olmetec 20 mg, filmomhulde tabletten;20 mg;OLMESARTANMEDOXOMIL;Filmomhulde tablet;Uitsluitend recept
CEFTAZIDIM - 500 mg - Poeder voor oplossing voor injectie;Ceftazidim Fresenius Kabi 500 mg, poeder voor oplossing voor injectie;500 mg;CEFTAZIDIM;Poeder voor oplossing voor injectie;Uitsluitend recept
TEMOZOLOMIDE - 250 mg - Capsule;Ridoca 250 mg harde capsules;250 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
ENZALUTAMIDE - 80 mg - Filmomhulde tablet;Enzalutamide CF 80 mg, filmomhulde tabletten;80 mg;ENZALUTAMIDE;Filmomhulde tablet;Uitsluitend recept
CIMETIDINE - 200 mg - Filmomhulde tablet;Cimetidine Accord 200 mg, filmomhulde tabletten;200 mg;CIMETIDINE;Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/PERINDOPRIL - 8 mg/10 mg - Tablet;Perindopril tert-butylamine/Amlodipine Aurobindo 8 mg/10 mg, tabletten;8 mg/10 mg;AMLODIPINE/PERINDOPRIL;Tablet;Uitsluitend recept
CLORAZEPAAT - 10 mg - Capsule;Tranxène 10, capsules 10 mg;10 mg;CLORAZEPAAT;Capsule, hard;Uitsluitend recept
FLUOXETINE - 20 mg - Dispergeerbare tablet;Fluoxetine Disper Mylan 20 mg, dispergeerbare tabletten;20 mg;FLUOXETINE;Dispergeerbare tablet;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL - 1000 IE - Capsule;Colecalciferol Sandoz 1000 IE, zachte capsules;1000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Capsule, zacht;Uitsluitend recept
METHOTREXAAT - 7,5 mg - Oplossing voor injectie;Basitrin 7,5 mg=0,200 ml, oplossing voor injectie in een voorgevulde spuit 37,5 mg/ml;7,5 mg;METHOTREXAAT;Oplossing voor injectie;Uitsluitend recept
XYLOMETAZOLINE - 0,5 mg/ml - Neusspray;Neusspray Xelf Xylometazoline HCl 0,5 mg/ml, neusspray, oplossing;0,5 mg/ml;XYLOMETAZOLINE;Neusspray, oplossing;Uitsluitend apotheek of drogist
COFFEINE /PARACETAMOL/PROPYFENAZON -  - Tablet;Saridon, tabletten;;COFFEINE /PARACETAMOL/PROPYFENAZON;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist - UA meer dan 24 eenheden - UAD maximaal 24 eenheden
SPIRONOLACTON - 100 mg - Filmomhulde tablet;Spironolacton Aurobindo 100 mg, tabletten;100 mg;SPIRONOLACTON;Filmomhulde tablet;Uitsluitend recept
DICLOFENAC - 25 mg - Zetpil;Diclofenacnatrium Auro 25 mg, zetpillen;25 mg;DICLOFENAC;Zetpil;Uitsluitend recept
SUGAMMADEX - 100 mg/ml - Oplossing voor injectie;Sugammadex Amarox 100 mg/ml oplossing voor injectie;100 mg/ml;SUGAMMADEX;Oplossing voor injectie;Uitsluitend recept
OMEPRAZOL - 10 mg - Maagsapresistente capsule;Omolin 10 mg, maagsapresistente capsule, hard;10 mg;OMEPRAZOL;Maagsapresistente capsule, hard;Uitsluitend recept
ESOMEPRAZOL - 40 mg - Poeder voor oplossing voor injectie of infusie;Esomeprazol SUN 40 mg poeder voor oplossing voor injectie en intraveneuze infusie;40 mg;ESOMEPRAZOL;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
GLIMEPIRIDE - 1 mg - Tablet;Glimepiride Zentiva 1 mg, tabletten;1 mg;GLIMEPIRIDE;Tablet;Uitsluitend recept
ENOXAPARINE - 8.000 IE - Oplossing voor injectie;Enoxaparine Becat 8.000 IE (80 mg)/0,8 ml oplossing voor injectie in een voorgevulde spuit;8.000 IE;ENOXAPARINE;Oplossing voor injectie;Uitsluitend recept
ETHANOL 96 %/POVIDON JODIUM - 200 mg/2,88 ml - Geïmpregneerd verbandgaas;Betadine alcohol, geïmpregneerd verbandgaas 200 mg/2,88 ml;200 mg/2,88 ml;ETHANOL 96 %/POVIDON JODIUM;Geïmpregneerd verbandgaas;Uitsluitend apotheek of drogist
DESOGESTREL/ETHINYLESTRADIOL - 0,03/0,15 mg - Tablet;Ethinylestradiol/Desogestrel 0,03/0,15 mg Teva, tabletten;0,03/0,15 mg;DESOGESTREL/ETHINYLESTRADIOL;Tablet;Uitsluitend recept
ALUMINIUMOXIDE, GEHYDRATEERD/HYDROXIDE (E 528) - 200 mg/400 mg - Kauwtablet;Maalox, 200 mg/400 mg kauwtabletten;200 mg/400 mg;ALUMINIUMOXIDE, GEHYDRATEERD/HYDROXIDE (E 528);Kauwtablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 27 oktober 2011]
LATANOPROST/TIMOLOL - 50 microgram/ml - Oogdruppels;Fixaprost 50 microgram/ml + 5 mg/ml oogdruppels, oplossing;50 microgram/ml;LATANOPROST/TIMOLOL;Oogdruppels, oplossing;Uitsluitend recept
"POLLENEXTRACT ""BENCARD"" - 10.000 DU/ml - Oplossing voor huidpriktest";"Bencard Priktestoplossing ""Pollen"", oplossing voor huidpriktest 10.000 DU/ml";10.000 DU/ml;"POLLENEXTRACT ""BENCARD""";Oplossing voor huidpriktest;Uitsluitend recept
DEFERASIROX - 180 mg - Filmomhulde tablet;Deferasirox Aurobindo 180 mg, filmomhulde tabletten;180 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie;Testosteron Teva 1000 mg/4 ml, oplossing voor injectie;1000 mg/4 ml;TESTOSTERON;Oplossing voor injectie;Uitsluitend recept
BACLOFEN - 2 mg/ml - Oplossing voor infusie;Baclofen Sintetica Intrathecaal 2 mg/ml oplossing voor infusie;2 mg/ml;BACLOFEN;Oplossing voor infusie;Uitsluitend recept
FENTANYL - 600 microgram - Buccale tablet;Fentanyl Aurobindo 600 microgram, buccale tabletten;600 microgram;FENTANYL;Buccale tablet;Uitsluitend recept
METHYLFENIDAAT - 27 mg - Tablet met verlengde afgifte;Methylfenidaat HCl CF 27 mg, tabletten met verlengde afgifte;27 mg;METHYLFENIDAAT;Tablet met verlengde afgifte;Uitsluitend recept
IMIQUIMOD - 50 mg/g - Crème;Bascellex 50 mg/g crème;50 mg/g;IMIQUIMOD;Crème;Uitsluitend recept
METHOTREXAAT - 7,5 mg - Oplossing voor injectie;Injexate 7,5 mg = 0,15 ml oplossing voor injectie in voorgevulde spuit;7,5 mg;METHOTREXAAT;Oplossing voor injectie;Uitsluitend recept
PROPRANOLOL - 10 mg - Filmomhulde tablet;Propranolol HCl Sandoz 10, tabletten 10 mg;10 mg;PROPRANOLOL;Filmomhulde tablet;Uitsluitend recept
TERLIPRESSINE - 0,1 mg/ml - Oplossing voor injectie;Glypressin 0,1 mg/ml, oplossing voor injectie;0,1 mg/ml;TERLIPRESSINE;Oplossing voor injectie;Uitsluitend recept
APIXABAN - 5 mg - Filmomhulde tablet;Apixaban 1A Pharma 5 mg, filmomhulde tabletten;5 mg;APIXABAN;Filmomhulde tablet;Uitsluitend recept
NORFLOXACINE - 400 mg - Filmomhulde tablet;Norfloxacine Sandoz tablet 400 mg, filmomhulde tabletten;400 mg;NORFLOXACINE;Filmomhulde tablet;Uitsluitend recept
APREPITANT/APREPITANT - 80 mg - Capsule;Aprepitant Xiromed 80 mg + 125 mg harde capsules;80 mg;APREPITANT/APREPITANT;Capsule, hard;Uitsluitend recept
PREGABALINE - 75 mg - Capsule;Siranalen 75 mg, harde capsules;75 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
PRAVASTATINE - 20 mg - Tablet;Pravastatinenatrium Aurobindo 20 mg, tabletten;20 mg;PRAVASTATINE;Tablet;Uitsluitend recept
NAPROXEN - 500 mg - Tablet;Naproxen Mylan 500 mg, tabletten;500 mg;NAPROXEN;Tablet;Uitsluitend recept
TACROLIMUS - 3 mg - Capsule met verlengde afgifte;Dailiport 3 mg, harde capsules met verlengde afgifte;3 mg;TACROLIMUS;Capsule met verlengde afgifte, hard;Uitsluitend recept
MICONAZOL - 20 mg/g - Crème;Miconazolnitraat Teva 20 mg/g, hydrofiele crème;20 mg/g;MICONAZOL;Crème;Uitsluitend apotheek of drogist
CHOLECALCIFEROL/CHOLECALCIFEROL - 25.000 IE - Capsule;Cholecalciferol 25.000 IE Focus Care, zachte capsules;25.000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Capsule, zacht;Uitsluitend recept
OXYCODON - 5 mg - Tablet met verlengde afgifte;Oxycodon HCl Sandoz retard 5 mg, tabletten met verlengde afgifte;5 mg;OXYCODON;Tablet met verlengde afgifte;Uitsluitend recept
CLARITROMYCINE - 250 mg - Filmomhulde tablet;Claritromycine Accord 250 mg filmomhulde tabletten;250 mg;CLARITROMYCINE;Filmomhulde tablet;Uitsluitend recept
